date,sst,Lower 95% CI,Upper 95% CI
2018-08-01,25.121694714114117,21.557032952066823,28.42746576793817
2019-05-01,25.23953488470507,22.051733342313902,28.843254588982518
2019-06-01,25.25291600294605,21.70984034394792,28.477484605179022
2019-07-01,25.265865472189766,21.924434920956674,28.845732828724735
2020-05-01,25.39751840918618,22.056636077204125,28.525010767678868
2020-06-01,25.410899527399806,22.254193992255374,28.624317781513675
2020-07-01,25.423848996674955,22.053094073760494,28.694251123774944
2020-08-01,25.437230114910665,21.841859161759523,28.644900339853933
2020-09-01,25.450611233137828,22.352836313495853,29.016549733734106
2021-05-01,25.555070284748943,21.883373595125533,29.002340293339746
2021-06-01,25.568451402947204,22.160099673037347,28.94724818228959
2021-07-01,25.581400872123794,22.255438134900555,28.818327899176328
2021-08-01,25.594781990256635,22.258483953021493,29.00365370927288
2021-09-01,25.608163108395,22.172824978704057,28.817766531350628
2021-10-01,25.621112577519725,22.215474646190465,29.022513211435673
2022-04-01,25.699672690332534,22.292947735109312,29.33171196425626
2022-05-01,25.712622159464512,22.347668996743543,29.10097551180188
2022-06-01,25.726003277529628,22.23170101373589,29.053121070510763
2022-07-01,25.73895274657504,22.42281887121691,29.18247822698792
2022-08-01,25.752333864561685,22.33473245254285,29.15350579666571
2022-09-01,25.765714982541976,22.37128025512851,29.10939237364669
2022-10-01,25.77866445132499,22.18351048573496,29.212657437044804
2022-11-01,25.79204556907652,22.58280100166979,29.230452945970786
2023-03-01,25.843843444076246,22.58144790580069,29.14045322644583
2023-04-01,25.857224561806287,22.55744495898749,29.2149791430069
2023-05-01,25.870174030588792,22.37017288997064,29.391772669857076
2023-06-01,25.883555148330718,22.525842369839634,29.342563637454823
2023-07-01,25.896504617113226,21.970846775381638,29.243277863417152
2023-08-01,25.909885734855152,22.37620297350837,29.088138451358965
2023-09-01,25.923266852597077,22.5226912459626,29.50922777202925
2023-10-01,25.936216321379586,22.619203574701174,29.475395229997044
2023-11-01,25.94959743912151,22.407351550885558,29.3377148139777
2023-12-01,25.962546907904017,22.39010183456839,29.425101334208463
2024-01-01,25.975928025645942,22.49683512123276,29.597573714065252
2024-02-01,25.989309143387864,22.340470324122723,29.333766092461666
2024-03-01,26.001826963210956,22.5186316782165,29.667390559741357
2024-04-01,26.015208080952885,22.51993596763765,29.358223979444023
2024-05-01,26.02815754973539,22.604454703234403,29.44618378164643
2024-06-01,26.041538667477315,22.692830601628017,29.5501349649933
2024-07-01,26.054488136259824,22.611645866342382,29.451774142031176
2024-08-01,26.06786925400175,22.675030193271787,29.45949204504586
2024-09-01,26.08125037174367,22.55470245514521,29.740009795739706
2024-10-01,26.09419984052618,22.589786556312824,29.53046321371321
2024-11-01,26.107580958268105,22.532890048346555,29.217910088949854
2024-12-01,26.12053042705061,22.741783595494404,29.53822242234263
2025-01-01,26.133911544792536,22.698123711412062,29.68871104278515
2025-02-01,26.14729266253446,22.659793872813115,29.569501418437056
2025-03-01,26.159378833398137,22.763979592763043,29.328457438456248
2025-04-01,26.172759951140062,22.7362192486473,29.410967436223448
2025-05-01,26.18570941992257,22.71606755508433,29.47327616442012
2025-06-01,26.199090537664496,22.715797799851373,29.427355637302373
2025-07-01,26.212040006447,22.729595243938082,29.57198164114719
2025-08-01,26.225421124188927,22.814055938622044,29.451734658197754
2025-09-01,26.23880224193085,22.682446870697532,29.728829008271244
2025-10-01,26.251751710713357,22.885780203679122,29.756760972767935
2025-11-01,26.265132828455283,23.127818412676838,29.610632049058836
2025-12-01,26.27808229723779,22.814064738363793,29.861260575068588
2026-01-01,26.291463414979717,22.807724271545762,29.945173049471187
2026-02-01,26.304844532721642,23.041624791502933,29.610040011303226
2026-03-01,26.316930703585317,22.976998709323162,29.839596677175855
2026-04-01,26.33031182132724,23.038621553432336,29.851929692961892
2026-05-01,26.343261290109748,23.02387199977418,29.88939001332674
2026-06-01,26.356642407851673,22.930602921002443,29.95703771886437
2026-07-01,26.369591876634182,23.08776281426556,29.865485747405344
2026-08-01,26.382972994376104,22.97425806283809,29.705170992972047
2026-09-01,26.39635411211803,22.85104012860353,29.872735119981815
2026-10-01,26.409303580900534,23.232082194891955,29.61619341265384
2026-11-01,26.422684698642463,22.779377013068032,29.753715584363807
2026-12-01,26.43563416742497,22.984822566356566,29.878356101847853
2027-01-01,26.449015285166894,23.123121552557365,29.826731300372273
2027-02-01,26.46239640290882,23.05207731762497,30.052563492564776
2027-03-01,26.474482573772494,23.161804137922122,29.89568748401465
2027-04-01,26.48786369151442,23.12626372253365,30.028104715945467
2027-05-01,26.50081316029693,22.68863655677036,29.904189919408708
2027-06-01,26.514194278038854,23.301895884046495,29.86408788618848
2027-07-01,26.52714374682136,23.09692359386799,29.928076420239606
2027-08-01,26.54052486456328,23.292100718039425,29.973687706332043
2027-09-01,26.553905982305206,22.995834226056395,29.787163779202103
2027-10-01,26.566855451087715,23.071558793725046,29.934649178281873
2027-11-01,26.58023656882964,23.295577322150567,29.982248089559384
2027-12-01,26.59318603761215,23.374182940724776,30.157651761211888
2028-01-01,26.606567155354075,23.283712954903567,30.139058259669035
2028-02-01,26.619948273096,23.151728973131494,30.104154206850414
2028-03-01,26.63246609291909,23.05521138833379,30.08294639292242
2028-04-01,26.645847210661014,23.078595205125136,30.016276442952215
2028-05-01,26.658796679443522,23.32740007900092,29.982003626847924
2028-06-01,26.672177797185448,23.16288789120421,29.792561652119126
2028-07-01,26.685127265967953,23.332855021357577,29.899061173994124
2028-08-01,26.69850838370988,23.181591983058876,29.987216407067052
2028-09-01,26.711889501451804,23.55632207872008,30.441324052944655
2028-10-01,26.724838970234313,23.296960954335624,30.26741059515525
2028-11-01,26.738220087976238,23.25570510431472,30.299796739007704
